################################################################
# ThreatFox IOCs: recent URLs - CSV format                     #
# Last updated: 2025-12-14 02:15:07 UTC                        #
#                                                              #
# Terms Of Use: https://threatfox.abuse.ch/faq/#tos            #
# For questions please contact threatfox [at] abuse.ch         #
################################################################
#
# "first_seen_utc","ioc_id","ioc_value","ioc_type","threat_type","fk_malware","malware_alias","malware_printable","last_seen_utc","confidence_level","reference","tags","anonymous","reporter"
"2025-12-13 07:51:04", "1676768", "http://69.5.189.119/ca181e88d271449b.php", "url", "botnet_cc", "win.stealc", "None", "Stealc", "", "100", "https://bazaar.abuse.ch/sample/702252b74d927a5c5ef712dfb1931e2d9093a63950505ca2f887e520eeaef7e2/", "c2,stealc,url", "0", "burger"
"2025-12-13 07:51:03", "1676760", "http://91.92.243.254/kelly/five/PvqDq929BSx_A_D_M1n_a.php", "url", "botnet_cc", "apk.lokibot", "None", "LokiBot", "", "100", "None", "AS214943,lokibot,Railnet LLC", "0", "antiphishorg"
"2025-12-12 21:30:11", "1677529", "http://towerbingobongoboom.com:8080/updater?for=81D1B730207B50BC16231686B723B33F", "url", "botnet_cc", "unknown", "None", "Unknown malware", "", "100", "None", "GoProxy", "0", "abuse_ch"
"2025-12-12 16:24:08", "1676724", "http://77.105.161.133", "url", "botnet_cc", "win.stealc", "None", "Stealc", "", "100", "", "stealc", "0", "amznemu"
"2025-12-12 14:30:04", "1676673", "http://91.92.243.254/kelly/five/fre.php", "url", "botnet_cc", "win.lokipws", "Burkina,Loki,LokiBot,LokiPWS", "Loki Password Stealer (PWS)", "", "100", "None", "Loki", "0", "abuse_ch"
"2025-12-12 14:29:55", "1676603", "https://evanderupdate.com/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "90", "https://clickfix.carsonww.com/domains/evanderupdate.com", "ClickFix", "0", "CarsonWilliams"
"2025-12-12 14:29:55", "1676621", "https://code.hybclient.com/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "90", "https://clickfix.carsonww.com/domains/code.hybclient.com", "ClickFix", "0", "CarsonWilliams"
"2025-12-12 14:29:54", "1676630", "http://178.17.59.88/api/NTEsN2QsN2UsNTgsNWIsNjAsNjIsNjcsYyw3OSw=", "url", "botnet_cc", "win.smartloader", "None", "SmartLoader", "", "75", "", "smartloader", "0", "tcains1"
"2025-12-12 14:29:53", "1676639", "https://138.226.236.29/", "url", "botnet_cc", "win.vidar", "None", "Vidar", "", "100", "https://bazaar.abuse.ch/sample/775eb94bb1859dffb375a2bb971ffdbdf772c20e472ad2ced52adda119e6be43/", "c2,url,vidar", "0", "burger"
"2025-12-12 14:19:11", "1676670", "https://18plus.tiktok.market.google.b44brha.top/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "50", "", "None", "0", "juroots"
"2025-12-12 14:19:11", "1676671", "https://18plus.tiktok.market.google.101uu6.top/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "50", "", "None", "0", "juroots"
"2025-12-12 14:19:11", "1676672", "https://18plus.tiktok.market.google.pinklotusfoundation.online/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "50", "", "None", "0", "juroots"
"2025-12-12 14:19:10", "1676662", "https://18plus.tiktok.market.google.cuocsong.store/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "50", "", "None", "0", "juroots"
"2025-12-12 14:19:10", "1676663", "https://poidx.777md.xyz/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "50", "", "None", "0", "juroots"
"2025-12-12 14:19:10", "1676664", "https://18plus.tiktok.market.google.2049uu.top/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "50", "", "None", "0", "juroots"
"2025-12-12 14:19:10", "1676665", "https://18plus.tiktok.market.google.totti911-aakk04.store/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "50", "", "None", "0", "juroots"
"2025-12-12 14:19:10", "1676666", "https://18plus.tiktok.market.google.976uu9.top/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "50", "", "None", "0", "juroots"
"2025-12-12 14:19:10", "1676667", "https://googleplaycr.pages.dev/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "50", "", "None", "0", "juroots"
"2025-12-12 14:19:10", "1676668", "https://play-app.huami123.online/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "50", "", "None", "0", "juroots"
"2025-12-12 14:19:10", "1676669", "https://18plus.tiktok.market.google.luxelockssalon.shop/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "50", "", "None", "0", "juroots"
"2025-12-12 14:19:09", "1676657", "https://ucd.ru.com/MSteamss/teams/Windows/invite.php", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "50", "", "None", "0", "juroots"
"2025-12-12 14:19:09", "1676658", "https://blvas.online/Zoooom/Windows/invite.php", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "50", "", "None", "0", "juroots"
"2025-12-12 14:19:09", "1676659", "https://prominencecleaners.com/excell/Windows/invite.php", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "50", "", "None", "0", "juroots"
"2025-12-12 14:19:09", "1676660", "https://com-a2gamepromotwo-eg--112a2-com---ad.pages.dev/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "50", "", "None", "0", "juroots"
"2025-12-12 14:19:09", "1676661", "https://mart.delipack.shop/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "50", "", "None", "0", "juroots"
"2025-12-12 14:19:08", "1676651", "https://zoomteammeeting.im/Windows/invite.php", "url", "payload_delivery", "unknown", "None", "Unknown malware", "2025-12-12 14:19:09", "50", "", "None", "0", "juroots"
"2025-12-12 14:19:08", "1676652", "https://teaminvitemeeting.im/Windows/invite.php", "url", "payload_delivery", "unknown", "None", "Unknown malware", "2025-12-12 14:19:09", "50", "", "None", "0", "juroots"
"2025-12-12 14:19:08", "1676653", "https://2z1alloom2.click/zoom/Windows/invite.php", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "50", "", "None", "0", "juroots"
"2025-12-12 14:19:08", "1676654", "https://zoommeetingsetup.vip/webzu0sju/Windows/invite.php", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "50", "", "None", "0", "juroots"
"2025-12-12 14:19:08", "1676655", "https://chandhandicrafts.com/MicrosoftTeam/teamsfinal/teams/Windows/invite.php", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "50", "", "None", "0", "juroots"
"2025-12-12 14:19:08", "1676656", "https://institutoalfrednobel.edu.mx/meet/567/Windows/invite.php", "url", "payload_delivery", "unknown", "None", "Unknown malware", "2025-12-12 14:19:08", "50", "", "None", "0", "juroots"
"2025-12-12 10:08:14", "1676549", "http://123.56.48.58:8888/supershell/login/", "url", "botnet_cc", "unknown", "None", "Unknown malware", "", "100", "None", "AS37963,Hangzhou Alibaba Advertising Co. Ltd.,supershell", "0", "antiphishorg"
"2025-12-12 10:08:12", "1676559", "https://wooddecor.com.br.kbral.com.br/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "90", "https://clickfix.carsonww.com/domains/wooddecor.com.br.kbral.com.br", "ClickFix", "0", "CarsonWilliams"
"2025-12-12 08:52:52", "1676481", "https://roku.jnishop.com/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "90", "https://clickfix.carsonww.com/domains/roku.jnishop.com", "ClickFix", "0", "CarsonWilliams"
"2025-12-12 08:52:51", "1676482", "https://rummagewi.com/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "90", "https://clickfix.carsonww.com/domains/rummagewi.com", "ClickFix", "0", "CarsonWilliams"
"2025-12-12 08:52:51", "1676483", "https://sageproductions.tv/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "90", "https://clickfix.carsonww.com/domains/sageproductions.tv", "ClickFix", "0", "CarsonWilliams"
"2025-12-12 08:52:50", "1676484", "https://schluesselringe.de/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "90", "https://clickfix.carsonww.com/domains/schluesselringe.de", "ClickFix", "0", "CarsonWilliams"
"2025-12-12 08:52:50", "1676485", "https://red-eyesecurity.com/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "90", "https://clickfix.carsonww.com/domains/red-eyesecurity.com", "ClickFix", "0", "CarsonWilliams"
"2025-12-12 08:52:49", "1676486", "https://rummagewi.drcs-solutions.com/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "90", "https://clickfix.carsonww.com/domains/rummagewi.drcs-solutions.com", "ClickFix", "0", "CarsonWilliams"
"2025-12-12 08:52:48", "1676487", "https://qka.poy.temporary.site/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "90", "https://clickfix.carsonww.com/domains/qka.poy.temporary.site", "ClickFix", "0", "CarsonWilliams"
"2025-12-12 08:52:48", "1676488", "https://roumanie.sandierrot.fr/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "90", "https://clickfix.carsonww.com/domains/roumanie.sandierrot.fr", "ClickFix", "0", "CarsonWilliams"
"2025-12-12 08:52:48", "1676489", "https://portaldesigngrafico.com.br.agenciadelivearte.com.br/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "90", "https://clickfix.carsonww.com/domains/portaldesigngrafico.com.br.agenciadelivearte.com.br", "ClickFix", "0", "CarsonWilliams"
"2025-12-12 08:52:47", "1676490", "https://psicologowil.com.br/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "90", "https://clickfix.carsonww.com/domains/psicologowil.com.br", "ClickFix", "0", "CarsonWilliams"
"2025-12-12 08:52:47", "1676491", "https://quabala-quabala.com/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "90", "https://clickfix.carsonww.com/domains/quabala-quabala.com", "ClickFix", "0", "CarsonWilliams"
"2025-12-12 08:52:47", "1676492", "https://shop.net-gazet.ru/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "90", "https://clickfix.carsonww.com/domains/shop.net-gazet.ru", "ClickFix", "0", "CarsonWilliams"
"2025-12-12 08:52:46", "1676493", "https://singlevendor.ninetysix.in/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "90", "https://clickfix.carsonww.com/domains/singlevendor.ninetysix.in", "ClickFix", "0", "CarsonWilliams"
"2025-12-12 08:52:46", "1676494", "https://sebastiancafe.kbral.com.br/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "90", "https://clickfix.carsonww.com/domains/sebastiancafe.kbral.com.br", "ClickFix", "0", "CarsonWilliams"
"2025-12-12 08:52:45", "1676495", "https://teresina.oligoflora.com.br/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "90", "https://clickfix.carsonww.com/domains/teresina.oligoflora.com.br", "ClickFix", "0", "CarsonWilliams"
"2025-12-12 08:52:45", "1676496", "https://syuchan.com/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "90", "https://clickfix.carsonww.com/domains/syuchan.com", "ClickFix", "0", "CarsonWilliams"
"2025-12-12 08:52:45", "1676497", "https://tanakazu1977.com/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "90", "https://clickfix.carsonww.com/domains/tanakazu1977.com", "ClickFix", "0", "CarsonWilliams"
"2025-12-12 08:52:44", "1676498", "https://supvitalfree.verslo.io/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "90", "https://clickfix.carsonww.com/domains/supvitalfree.verslo.io", "ClickFix", "0", "CarsonWilliams"
"2025-12-12 08:52:44", "1676500", "https://staging.trytebox.com/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "90", "https://clickfix.carsonww.com/domains/staging.trytebox.com", "ClickFix", "0", "CarsonWilliams"
"2025-12-12 08:52:43", "1676499", "https://stazio54.com/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "90", "https://clickfix.carsonww.com/domains/stazio54.com", "ClickFix", "0", "CarsonWilliams"
"2025-12-12 08:52:43", "1676502", "https://stavby.sk/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "90", "https://clickfix.carsonww.com/domains/stavby.sk", "ClickFix", "0", "CarsonWilliams"
"2025-12-12 08:52:42", "1676501", "https://suzuya-basketball-dog-house.com/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "90", "https://clickfix.carsonww.com/domains/suzuya-basketball-dog-house.com", "ClickFix", "0", "CarsonWilliams"
"2025-12-12 08:52:42", "1676503", "https://vendamaiscomthiago.ads360imob.com.br/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "90", "https://clickfix.carsonww.com/domains/vendamaiscomthiago.ads360imob.com.br", "ClickFix", "0", "CarsonWilliams"
"2025-12-12 08:52:41", "1676504", "https://webmail.mega77b.com/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "90", "https://clickfix.carsonww.com/domains/webmail.mega77b.com", "ClickFix", "0", "CarsonWilliams"
"2025-12-12 08:52:40", "1676505", "https://webmail.giracoin.io/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "90", "https://clickfix.carsonww.com/domains/webmail.giracoin.io", "ClickFix", "0", "CarsonWilliams"
"2025-12-12 08:52:40", "1676506", "https://urbiagua.pt/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "90", "https://clickfix.carsonww.com/domains/urbiagua.pt", "ClickFix", "0", "CarsonWilliams"
"2025-12-12 08:52:40", "1676507", "https://teenpattijawaan.com/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "90", "https://clickfix.carsonww.com/domains/teenpattijawaan.com", "ClickFix", "0", "CarsonWilliams"
"2025-12-12 08:52:39", "1676508", "https://tes-totaleng.com/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "90", "https://clickfix.carsonww.com/domains/tes-totaleng.com", "ClickFix", "0", "CarsonWilliams"
"2025-12-12 08:52:39", "1676509", "https://study.bisabarengoby.id/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "90", "https://clickfix.carsonww.com/domains/study.bisabarengoby.id", "ClickFix", "0", "CarsonWilliams"
"2025-12-12 08:52:38", "1676512", "https://vitaricca-1.com/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "90", "https://clickfix.carsonww.com/domains/vitaricca-1.com", "ClickFix", "0", "CarsonWilliams"
"2025-12-12 08:52:37", "1676511", "https://wordt-ontwikkeldbe.site.tb-hosting.com/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "90", "https://clickfix.carsonww.com/domains/wordt-ontwikkeldbe.site.tb-hosting.com", "ClickFix", "0", "CarsonWilliams"
"2025-12-12 08:52:36", "1676510", "https://vegasvalleycommercial.com/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "90", "https://clickfix.carsonww.com/domains/vegasvalleycommercial.com", "ClickFix", "0", "CarsonWilliams"
"2025-12-12 08:52:35", "1676513", "https://yellowbird.siulyn.fr/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "90", "https://clickfix.carsonww.com/domains/yellowbird.siulyn.fr", "ClickFix", "0", "CarsonWilliams"
"2025-12-12 08:52:34", "1676514", "https://webdisk.kasatnews.com/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "90", "https://clickfix.carsonww.com/domains/webdisk.kasatnews.com", "ClickFix", "0", "CarsonWilliams"
"2025-12-12 08:52:34", "1676515", "https://whm.tamiltotamil.com/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "90", "https://clickfix.carsonww.com/domains/whm.tamiltotamil.com", "ClickFix", "0", "CarsonWilliams"
"2025-12-12 08:52:33", "1676516", "https://whm.umeedshiksharath.org/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "90", "https://clickfix.carsonww.com/domains/whm.umeedshiksharath.org", "ClickFix", "0", "CarsonWilliams"
"2025-12-12 08:52:32", "1676517", "https://ysetechnologies.com.appniacs.com/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "90", "https://clickfix.carsonww.com/domains/ysetechnologies.com.appniacs.com", "ClickFix", "0", "CarsonWilliams"
"2025-12-12 08:52:31", "1676518", "https://watabaran.se/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "90", "https://clickfix.carsonww.com/domains/watabaran.se", "ClickFix", "0", "CarsonWilliams"
"2025-12-12 08:52:31", "1676541", "https://tlcmaui.com/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "90", "https://clickfix.carsonww.com/domains/tlcmaui.com", "ClickFix", "0", "CarsonWilliams"
"2025-12-12 08:52:31", "1676542", "https://quamecheng.co.zm/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "90", "https://clickfix.carsonww.com/domains/quamecheng.co.zm", "ClickFix", "0", "CarsonWilliams"
"2025-12-12 07:07:14", "1676465", "http://bamboopaw2021.sbs/b5a52ebb310b65f06dd10cfe69f72363/", "url", "botnet_cc", "unknown_stealer", "None", "Unknown Stealer", "", "100", "https://bazaar.abuse.ch/sample/9dcfd6ad92ba2a0b05036cec9696abd6b8ff922c8694723aa07790f08ae50495/", "MaskGramStealer", "0", "abuse_ch"
"2025-12-12 06:34:46", "1676260", "https://api-w11c.onrender.com/api/send", "url", "botnet_cc", "unknown_stealer", "None", "Unknown Stealer", "", "50", "https://bazaar.abuse.ch/sample/6659f6e7120e112b2d1e5bdd469ed4935c5a11144575950c6e14173a49c1bff9/", "c2,SilentStealer", "0", "burger"
"2025-12-12 06:34:45", "1676254", "https://microservice-update-s1-bucket.cc/HollyPriest.docx", "url", "payload_delivery", "win.amatera", "None", "Amatera", "", "100", "https://bazaar.abuse.ch/sample/69a221fe8833624d52031f5c6243745ea901b5622231de26bd52023ff667a71c/", "amatera,payload", "0", "burger"
"2025-12-12 06:34:41", "1676242", "https://lingering-my-verify-clouds-1.pages.dev/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "90", "https://clickfix.carsonww.com/domains/lingering-my-verify-clouds-1.pages.dev", "ClickFix", "0", "CarsonWilliams"
"2025-12-12 06:34:38", "1676368", "http://47.243.211.91:8888/supershell/login/", "url", "botnet_cc", "unknown", "None", "Unknown malware", "2025-12-12 06:23:06", "100", "None", "Alibaba (US) Technology Co.  Ltd.,AS45102,supershell", "0", "antiphishorg"
"2025-12-12 06:34:36", "1676399", "http://154.61.77.105:8082/", "url", "botnet_cc", "unknown", "None", "Unknown malware", "", "50", "https://theravenfile.com/2025/12/12/react2shell-exploitation-in-the-wild/", "exploit,react2shell", "0", "TheRavenFile"
"2025-12-12 06:30:55", "1676443", "https://raw.githubusercontent.com/locsucc/cac/refs/heads/master/c", "url", "botnet_cc", "win.xworm", "None", "XWorm", "", "50", "", "c2,xworm", "0", "juroots"
"2025-12-12 06:30:10", "1676441", "https://t.me/takecareandkeepitup", "url", "botnet_cc", "win.raccoon", "Mohazo,RaccoonStealer,Racealer,Racoon", "Raccoon", "", "50", "", "c2,raccoon", "0", "juroots"
"2025-12-12 06:30:09", "1676437", "https://t.me/borderxra", "url", "botnet_cc", "win.raccoon", "Mohazo,RaccoonStealer,Racealer,Racoon", "Raccoon", "", "50", "", "c2,raccoon", "0", "juroots"
"2025-12-12 06:30:09", "1676438", "https://t.me/jredmankun", "url", "botnet_cc", "win.raccoon", "Mohazo,RaccoonStealer,Racealer,Racoon", "Raccoon", "", "50", "", "c2,raccoon", "0", "juroots"
"2025-12-12 06:30:09", "1676439", "https://t.me/masseffectus2", "url", "botnet_cc", "win.raccoon", "Mohazo,RaccoonStealer,Racealer,Racoon", "Raccoon", "", "50", "", "c2,raccoon", "0", "juroots"
"2025-12-12 06:30:09", "1676440", "https://t.me/oh12manymarty", "url", "botnet_cc", "win.raccoon", "Mohazo,RaccoonStealer,Racealer,Racoon", "Raccoon", "", "50", "", "c2,raccoon", "0", "juroots"
"2025-12-12 06:30:08", "1676434", "http://telegatt.top/oh12manymarty", "url", "botnet_cc", "win.raccoon", "Mohazo,RaccoonStealer,Racealer,Racoon", "Raccoon", "", "50", "", "c2,raccoon", "0", "juroots"
"2025-12-12 06:30:08", "1676435", "http://telegin.top/oh12manymarty", "url", "botnet_cc", "win.raccoon", "Mohazo,RaccoonStealer,Racealer,Racoon", "Raccoon", "", "50", "", "c2,raccoon", "0", "juroots"
"2025-12-12 06:30:08", "1676436", "http://telegka.top/oh12manymarty", "url", "botnet_cc", "win.raccoon", "Mohazo,RaccoonStealer,Racealer,Racoon", "Raccoon", "", "50", "", "c2,raccoon", "0", "juroots"
"2025-12-12 06:28:48", "1676423", "http://knuywu58.top/index.php", "url", "botnet_cc", "win.cryptbot", "None", "CryptBot", "", "50", "", "c2,cryptbot", "0", "juroots"
"2025-12-12 06:28:48", "1676424", "http://lysuht78.top/index.php", "url", "botnet_cc", "win.cryptbot", "None", "CryptBot", "", "50", "", "c2,cryptbot", "0", "juroots"
"2025-12-12 06:28:48", "1676425", "http://morisc07.top/index.php", "url", "botnet_cc", "win.cryptbot", "None", "CryptBot", "", "50", "", "c2,cryptbot", "0", "juroots"
"2025-12-12 06:28:48", "1676426", "http://morjeo05.top/index.php", "url", "botnet_cc", "win.cryptbot", "None", "CryptBot", "", "50", "", "c2,cryptbot", "0", "juroots"
"2025-12-12 06:28:48", "1676427", "http://morwye06.top/index.php", "url", "botnet_cc", "win.cryptbot", "None", "CryptBot", "", "50", "", "c2,cryptbot", "0", "juroots"
"2025-12-12 06:28:47", "1676422", "http://knumfl68.top/index.php", "url", "botnet_cc", "win.cryptbot", "None", "CryptBot", "", "50", "", "c2,cryptbot", "0", "juroots"
"2025-12-12 06:28:24", "1676420", "http://sarefy07.top/download.php?file=lv.exe", "url", "payload_delivery", "win.cryptbot", "None", "CryptBot", "", "50", "", "cryptbot", "0", "juroots"
"2025-12-12 06:28:24", "1676421", "http://sarjeb09.top/download.php?file=lv.exe", "url", "payload_delivery", "win.cryptbot", "None", "CryptBot", "", "50", "", "cryptbot", "0", "juroots"
"2025-12-12 06:28:23", "1676419", "http://damysa10.top/download.php?file=lv.exe", "url", "payload_delivery", "win.cryptbot", "None", "CryptBot", "", "50", "", "cryptbot", "0", "juroots"
# Number of entries: 107
